index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
21,성동구,NE_GRID_1318,1050,0,5,35,5,175,145,0,5.170483995,0.63285135,0.738319618,0.669179052,0.525464834,0.783371465
21,성동구,NE_GRID_1319,527,0,0,0,0,527,226,0,6.269096284,0.813667,0.803704491,1,0.102667745,0.832338595
21,성동구,NE_GRID_1320,577,0,9,63,9,57.7,153,0,4.072439727,0.452129187,0.746222807,0.574862923,0.143088116,0.79293266
21,성동구,NE_GRID_1321,400,0,10,70,10,36.36363636,175,0,3.620697942,0.37777904,0.766005437,0.557265358,0,0.797302415
21,성동구,NE_GRID_1322,1050,0,2,14,2,350,117,0,5.860786223,0.746465086,0.706775297,0.797158064,0.525464834,0.686016786
21,성동구,NE_GRID_1323,596,0,0,0,0,596,1,0,6.391917113,0.833881528,0.102689518,1,0.158447858,0.160731272
21,성동구,NE_GRID_1324,596,0,0,0,0,596,0,0,6.391917113,0.833881528,0,1,0.158447858,0.010799914
21,성동구,NE_GRID_1325,658,0,0,0,0,658,0,0,6.490723535,0.850143632,0,1,0.208569119,0
19,동대문구,NE_GRID_1326,736,0,0,0,0,736,0,0,6.602587892,0.868554883,0,1,0.271624899,0.085778477
19,동대문구,NE_GRID_1327,701,0,5,35,5,116.8333333,245,0,4.769271197,0.566817541,0.815612986,0.669179052,0.243330639,0.767733631
19,동대문구,NE_GRID_1328,1340,0,0,0,0,1340,186,0,7.201170883,0.967072963,0.774986954,1,0.759902991,0.821792028
19,동대문구,NE_GRID_1329,736,0,16,72,16,43.29411765,218,0,3.790851884,0.405783912,0.798389135,0.476890542,0.271624899,0.828471969
19,동대문구,NE_GRID_1330,708,1,54,458,55,12.64285714,124,0,2.613216098,0.211962139,0.71531303,0.256780452,0.248989491,0.735959278
19,동대문구,NE_GRID_1331,435,3,4,328,7,54.375,24,0,4.014128228,0.44253196,0.476875354,0.616062963,0.02829426,0.508855614
